TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,hour,day_of_week,amount_zscore,transaction_frequency,avg_transaction_amount,max_transaction_amount,device_count,location_count,anomaly_score,risk_label,confidence_score
TX000001,AC00128,14.09,2023-04-11 16:29:14,Debit,San Diego,D000380,162.198.218.92,M015,ATM,70,Doctor,81,1,5112.21,2024-11-04 08:08:08,16,1,-0.9710821231389449,7,460.6985714285715,1397.59,7,7,0.0,C,0.09710821231389449
TX000002,AC00455,376.24,2023-06-27 16:44:19,Debit,Houston,D000051,13.149.61.4,M052,ATM,68,Doctor,141,1,13758.91,2024-11-04 08:09:35,16,1,0.2693859705902728,7,304.6228571428572,787.41,6,7,0.0,C,0.02693859705902728
TX000003,AC00019,126.29,2023-07-10 18:16:08,Debit,Mesa,D000235,215.97.143.157,M009,Online,19,Student,56,1,1122.35,2024-11-04 08:07:04,18,0,-0.5867647957430641,4,237.0475,489.31,4,4,0.0,C,0.058676479574306405
TX000004,AC00070,184.5,2023-05-05 16:32:11,Debit,Raleigh,D000187,200.13.225.150,M002,Online,26,Student,25,1,8569.06,2024-11-04 08:09:06,16,4,-0.38737877410568244,8,236.48375000000001,890.24,8,7,0.0,C,0.03873787741056824
TX000005,AC00411,13.45,2023-10-16 17:51:24,Credit,Atlanta,D000308,65.164.3.100,M091,Online,26,Student,198,1,7429.4,2024-11-04 08:06:39,17,0,-0.973274307537638,6,280.7966666666667,826.23,6,6,0.0,C,0.0973274307537638
TX000006,AC00393,92.15,2023-04-03 17:15:01,Debit,Oklahoma City,D000579,117.67.192.211,M054,ATM,18,Student,172,1,781.68,2024-11-04 08:06:36,17,0,-0.7037041322608482,8,209.20624999999998,392.05,8,7,0.0,C,0.07037041322608481
TX000007,AC00199,7.08,2023-02-15 16:36:48,Credit,Seattle,D000241,140.212.253.222,M019,ATM,37,Doctor,139,1,13316.71,2024-11-04 08:10:09,16,2,-0.9950933928808801,1,7.08,7.08,1,1,1.0,A,0.099509339288088
TX000008,AC00069,171.42,2023-05-08 17:47:59,Credit,Indianapolis,D000500,92.214.76.157,M020,Branch,67,Retired,291,1,2796.24,2024-11-04 08:10:55,17,0,-0.43218154275397236,7,231.08285714285714,603.54,7,6,0.0,C,0.043218154275397234
TX000009,AC00135,106.23,2023-03-21 16:59:46,Credit,Detroit,D000690,24.148.92.177,M035,Branch,51,Engineer,86,1,9095.14,2024-11-04 08:11:14,16,1,-0.6554760754896003,2,72.945,106.23,2,2,0.5,B,0.06554760754896002
TX000010,AC00385,815.96,2023-03-31 16:06:57,Debit,Nashville,D000199,32.169.88.41,M007,ATM,55,Doctor,120,1,1021.88,2024-11-04 08:06:32,16,4,1.7755536640173377,7,591.6,1431.54,7,7,1.0,A,0.17755536640173378
TX000011,AC00150,17.78,2023-03-14 16:46:10,Credit,Albuquerque,D000205,213.15.9.253,M073,Online,52,Engineer,59,1,7599.52,2024-11-04 08:06:45,16,1,-0.95844280996523,7,290.08,992.17,6,7,0.0,C,0.095844280996523
